0.00,0.00,0.00,0.00
372.17,0.00,0.00,0.00
496.28,0.00,0.00,0.00
558.13,0.00,0.00,0.00
595.40,0.00,0.00,0.00
620.25,0.00,0.00,0.00
637.99,0.00,0.00,0.00
651.30,0.00,0.00,0.00
661.66,0.00,0.00,0.00
669.94,0.00,0.00,0.00
744.40,0.00,0.00,0.00
744.41,0.00,0.00,0.00
744.49,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.57,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.52,0.00,0.00,0.00
744.51,0.00,0.00,0.00
744.51,0.00,0.00,0.00
744.51,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.47,0.00,0.00,0.00
744.55,0.00,0.00,0.00
744.56,0.00,0.00,0.00
744.56,0.00,0.00,0.00
744.57,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.76,0.00,0.00,0.00
744.85,0.00,0.00,0.00
744.86,0.00,0.00,0.00
744.86,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.70,0.00,0.00,0.00
744.64,0.00,0.00,0.00
744.55,0.00,0.00,0.00
744.53,0.00,0.00,0.00
744.55,0.00,0.00,0.00
744.53,0.00,0.00,0.00
744.53,0.00,0.00,0.00
744.53,0.00,0.00,0.00
744.55,0.00,0.00,0.00
744.63,0.00,0.00,0.00
744.63,0.00,0.00,0.00
744.70,0.00,0.00,0.00
744.80,0.00,0.00,0.00
744.81,0.00,0.00,0.00
744.81,0.00,0.00,0.00
744.82,0.00,0.00,0.00
744.82,0.00,0.00,0.00
744.84,0.00,0.00,0.00
744.84,0.00,0.00,0.00
744.76,0.00,0.00,0.00
744.77,0.00,0.00,0.00
744.69,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.61,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.59,0.00,0.00,0.00
744.66,0.00,0.00,0.00
744.66,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.69,0.00,0.00,0.00
744.69,0.00,0.00,0.00
744.73,0.00,0.00,0.00
744.73,0.00,0.00,0.00
744.72,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.65,0.00,0.00,0.00
744.64,0.00,0.00,0.00
744.60,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.69,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.68,0.00,0.00,0.00
744.76,0.00,0.00,0.00
744.76,0.00,0.00,0.00
744.76,0.00,0.00,0.00
744.84,0.00,0.00,0.00
744.85,0.00,0.00,0.00
744.93,0.00,0.00,0.00
744.85,0.00,0.00,0.00
744.93,0.00,0.00,0.00
744.93,0.00,0.00,0.00
744.94,0.00,0.00,0.00
744.96,0.00,0.00,0.00
745.03,0.00,0.00,0.00
745.11,0.00,0.00,0.00
745.13,0.00,0.00,0.00
745.13,0.00,0.00,0.00
745.14,0.00,0.00,0.00
745.22,0.00,0.00,0.00
745.23,0.00,0.00,0.00
745.23,0.00,0.00,0.00
745.30,0.00,0.00,0.00
745.19,0.00,0.00,0.00
745.11,0.00,0.00,0.00
745.03,0.00,0.00,0.00
